Date,Value,Anomaly
1/31/2017,42.3,-0.9
2/28/2017,49.4,4.3
3/31/2017,56.6,5.2
4/30/2017,59.9,-0.5
5/31/2017,66.1,-0.9
6/30/2017,79.8,2.4
7/31/2017,81.5,-0.5
8/31/2017,79.1,-1.5
9/30/2017,72.4,-2.3
10/31/2017,65.1,3
11/30/2017,57.6,5.2
12/31/2017,46.6,2.9
1/31/2018,47.6,4.4
2/28/2018,46.7,1.6
3/31/2018,52.3,0.9
4/30/2018,62.9,2.5
5/31/2018,68.5,1.5
6/30/2018,78.6,1.2
7/31/2018,82.3,0.3
8/31/2018,80.2,-0.4
9/30/2018,76,1.3
10/31/2018,59.9,-2.2
11/30/2018,49.4,-3
12/31/2018,42.8,-0.9
1/31/2019,42.4,-0.8
2/28/2019,40.9,-4.2
3/31/2019,51.7,0.3
4/30/2019,60.3,-0.1
5/31/2019,60.7,-6.3
6/30/2019,75.2,-2.2
7/31/2019,81.9,-0.1
8/31/2019,81.9,1.3
9/30/2019,73.8,-0.9
10/31/2019,60,-2.1
11/30/2019,52.1,-0.3
12/31/2019,42.2,-1.5
1/31/2020,43.7,0.5
2/29/2020,45.9,0.8
3/31/2020,51,-0.4
4/30/2020,59.3,-1.1
5/31/2020,70.5,3.5
6/30/2020,76.8,-0.6
7/31/2020,82.8,0.8
8/31/2020,84.1,3.5
9/30/2020,75.6,0.9
10/31/2020,66.2,4.1
11/30/2020,53.5,1.1
12/31/2020,42,-1.7
1/31/2021,42.6,-0.6
2/28/2021,46.5,1.4
3/31/2021,49.4,-2
4/30/2021,61.2,0.8
5/31/2021,67.9,0.9
6/30/2021,80.6,3.2
7/31/2021,81.5,-0.5
8/31/2021,79.5,-1.1
9/30/2021,74.8,0.1
10/31/2021,59.9,-2.2
11/30/2021,55.8,3.4
12/31/2021,45.6,1.9
1/31/2022,43.7,0.5
2/28/2022,44.2,-0.9
3/31/2022,51.8,0.4
4/30/2022,60.8,0.4
5/31/2022,68.7,1.7
6/30/2022,78.5,1.1
7/31/2022,82,0
8/31/2022,78.6,-2
9/30/2022,75.5,0.8
10/31/2022,61.5,-0.6
11/30/2022,46,-6.4
12/31/2022,42.8,-0.9
1/31/2023,40.4,-2.8
2/28/2023,41.8,-3.3
3/31/2023,47.3,-4.1
4/30/2023,58.5,-1.9
5/31/2023,66.5,-0.5
6/30/2023,72.5,-4.9
